Entity Type,ID,Title,Status,Priority,Points/Complexity,Parent ID (Epic/Story),Context (Sprint/Value Stream),Assignee,Description
Epic,EPIC-PORT-POLISH,Polish & Accessibility,planned,low,0,,governance,,"Responsive design, accessibility compliance, dark mode, and performance optimization."
Epic,EPIC-WIKI-006,Content Accessibility & Sharing,completed,high,21,,knowledge,,"Provide intuitive, contextual actions for wiki page content through a floating toolbar that follows modern document editing paradigms (Google Docs, Notion, Confluence). Increases user engagement through accessible AI assistance, text-to-speech for accessibility, and streamlined sharing/collaboration."
Epic,EPIC-WIKI-007,Word-Style Rich Text Formatting Toolbar,completed,high,58,,knowledge,Product Team,Transform the ARKHITEKTON wiki editor into a professional-grade document authoring experience that matches the familiarity and power of Microsoft Word. Enterprise users expect the formatting controls they know from desktop applications.
Sprint,SPRINT-0000001,Sprint 1: The Fix,planning,,30,,2025-12-17 to 2025-12-31,,Revive Kanban board and add agile estimation fields
User Story,UAW-001,Create Unified Objects Table Schema,backlog,high,8,EPIC-UAW,,,"Create the unified_objects table that will store all architecture artifacts (shapes, diagrams, ADRs, requirements, documents, uploads, external references) with a common schema enabling universal search and traceability."
User Story,UAW-002,Create Object References Table,backlog,P0,5,EPIC-UAW,,,"Create the object_references table to track all relationships between objects, enabling @-mentions, traceability, and backlinks. Supports relationship types: mention, embed, trace, implements, depends_on, derives_from."
User Story,UAW-003,Migrate Canvas Models from localStorage to Database,backlog,P0,5,EPIC-UAW,,,"Create models table and API endpoints to persist canvas state, replacing localStorage with database storage. Enables sharing, versioning, and collaboration on architecture diagrams."
User Story,UAW-004,Content Editor Foundation (TipTap Integration),backlog,P0,5,EPIC-UAW,,,"Integrate TipTap rich text editor as the foundation for architecture document creation. Supports headings, formatting, lists, links, code blocks with ARKHITEKTON theme styling."
User Story,UAW-005,Document CRUD UI,backlog,P0,5,EPIC-UAW,,,"Create UI for creating, reading, updating, and deleting architecture documents. Includes document type selection (ADR, Design Spec, Technical Brief, etc.), search, filtering, and status management."
User Story,UAW-006,Seed AWS Cloud Shapes as Objects,backlog,P1,5,EPIC-UAW,,,"Create seeding script to import all 120 AWS cloud icons from /client/public/icons/cloud/aws/ into unified_objects table with proper metadata (vendor, framework, category, SVG path)."
User Story,UAW-007,"Seed Azure, GCP, IBM Shapes",backlog,P1,5,EPIC-UAW,,,"Extend seeding script to import Azure (100), GCP (45), and IBM (50) cloud icons into unified_objects table. Total 315 cloud vendor shapes available."
User Story,UAW-017,TOGAF Shape Definitions,backlog,P2,3,EPIC-UAW,,,"Define and seed TOGAF framework shapes (30+ shapes): ABB, SBB, Actor, Role, Function, Process, Data Entity, Application Component."
User Story,UAW-008,Object Search API with Filters,backlog,P1,2,EPIC-UAW,,,"Create API endpoint for searching and filtering unified objects across all types. Supports full-text search, type filters, vendor filters, pagination, and relevance ranking."
User Story,UAW-009,Object Library Page UI,backlog,P1,8,EPIC-UAW,,,"Create unified object library page where users can browse, search, and filter all architecture objects (shapes, diagrams, documents, etc.) with grid view, cards, and detail modals."
User Story,UAW-010,Object Detail Modal,backlog,P1,5,EPIC-UAW,,,"Create modal that displays full details of any object, including metadata, relationships, usage information, and action buttons (Edit, Use in Canvas, Copy, etc.)."
User Story,UAW-011,ArchiMate Shape Definitions,backlog,P1,5,EPIC-UAW,,,"Define and seed core ArchiMate 3.2 shapes (50+ shapes) organized by layer: Business, Application, Technology, Strategy, Physical, Implementation, Motivation."
User Story,UAW-012,@-Mention Parser & Resolution API,backlog,P1,8,EPIC-UAW,,,Create parser to detect @-mentions in rich text and API to resolve them to actual objects with preview data. Response time must be <100ms for good UX.
User Story,UAW-013,Backlink Computation System,backlog,P1,5,EPIC-UAW,,,Implement system to automatically compute and update backlinks when references are created or deleted. Uses database triggers or async jobs for performance.
User Story,UAW-014,Unified Search with Ranking,backlog,P2,2,EPIC-UAW,,,"Enhance search API with relevance ranking (exact match > description > tags > content), popularity boost from referenceCount, and highlighted snippets."
User Story,UAW-015,@-Mention Autocomplete in Editor,backlog,P1,5,EPIC-UAW,,,"Integrate @-mention autocomplete into TipTap editor with real-time suggestions, keyboard navigation, and preview cards on hover."
User Story,UAW-016,Object Preview Card Component,backlog,P1,5,EPIC-UAW,,,Create reusable preview card component that shows object details on hover over @-mentions. Displays different content based on object type.
User Story,UAW-018,Diagram Embedding in Editor,backlog,P0,8,EPIC-UAW,,,"Enable embedding canvas diagrams as content blocks in documents (not attachments). Diagrams appear inline with preview, click to open editor modal."
User Story,UAW-019,Document Templates,backlog,P1,5,EPIC-UAW,,,"Create document templates for common architecture artifacts: ADR, Design Spec, Technical Brief, Reference Architecture, Capability Assessment. Pre-populated with structure and guidance."
User Story,UAW-020,Document Version History UI,backlog,P2,5,EPIC-UAW,,,"Add version history tracking and UI to view/restore previous versions. Auto-save creates versions. Show timeline, preview versions, restore, compare diffs."
User Story,UAW-021,Document Publishing Workflow UI,backlog,P2,2,EPIC-UAW,,,"Add workflow UI for document status transitions: Draft → In Review → Approved → Published → Archived. Status badges, permissions, notifications."
User Story,UAW-022,Document Versioning API,backlog,P2,5,EPIC-UAW,,,"Create API endpoints for document version management: create version on save, list versions, retrieve specific version, restore version."
User Story,UAW-023,Customer Input Objects API,backlog,P1,2,EPIC-UAW,,,"Create API for storing customer inputs (requirements, feedback, constraints) as unified objects with sourceSystem='customer', enabling linking to deliverables."
User Story,UAW-024,BPMN Shape Definitions,backlog,P2,3,EPIC-UAW,,,"Define and seed BPMN 2.0 shapes (25+ shapes) for business process modeling: Task, Gateway, Event, Pool, Lane, Data Object."
User Story,UAW-025,Jira Requirements Import,backlog,P1,8,EPIC-UAW,,,"Implement Jira API integration to import stories/epics as requirement objects. Configure connection, fetch issues, create as unified objects with sourceSystem='jira', sync updates."
User Story,US-FX6DKSI,Implement Capability Shape,backlog,medium,3,,,,Implement implement capability shape as part of the ArchiMate Strategy Layer feature set.
User Story,US-RO6XFNC,Implement Course of Action Shape,backlog,medium,3,,,,Implement implement course of action shape as part of the ArchiMate Strategy Layer feature set.
User Story,US-LXBX85I,Implement Value Stream Shape,backlog,medium,3,,,,Implement implement value stream shape as part of the ArchiMate Strategy Layer feature set.
User Story,UAW-026,Confluence Page Reference Import,backlog,P2,5,EPIC-UAW,,,Import Confluence pages as external reference objects (objectType='external') to enable linking from ARKHITEKTON documents. Read-only references with metadata and URLs.
User Story,UAW-027,External System Sync Status Dashboard,backlog,P2,4,EPIC-UAW,,,"Create dashboard showing sync status for all integrations (Jira, Confluence). Display last sync time, object counts, health status, manual sync buttons, error logs."
User Story,UAW-028,External Object Sync Service,backlog,P1,5,EPIC-UAW,,,"Create reusable sync service for importing objects from external systems with conflict resolution (last-write-wins), upsert logic, and deletion handling."
User Story,UAW-029,Object Relationship Validation,backlog,P2,2,EPIC-UAW,,,"Add validation to ensure object references follow allowed relationship rules. Validate relationship types per object type, detect circular references, require context where needed."
User Story,UAW-030,Import Wizard UI,backlog,P2,3,EPIC-UAW,,,"Create step-by-step wizard for importing objects: Select Source → Configure Connection → Select Objects → Map Fields → Review & Import. Support Jira, Confluence, CSV."
User Story,UAW-031,Confluence Publishing Engine,backlog,P1,10,EPIC-UAW,,,"Implement one-way publishing from ARKHITEKTON to Confluence. Convert documents to Confluence Storage Format, export diagrams as SVG attachments, add source-of-truth banner, update existing pages."
User Story,UAW-032,PDF Export,backlog,P2,5,EPIC-UAW,,,"Enable exporting documents to PDF with embedded diagrams, proper formatting, ARKHITEKTON branding, and metadata (title, author, version, watermark)."
User Story,UAW-033,Traceability Graph API,backlog,P1,8,EPIC-UAW,,,Create API to query traceability relationships between objects: Strategy → Capability → Requirement → Design → Decision → Implementation. Multi-level traversal with depth control.
User Story,UAW-034,Impact Analysis API,backlog,P1,2,EPIC-UAW,,,"Create API to analyze impact of changes to an object. Return direct and indirect impact, total count, impact by type, severity levels based on object status."
User Story,UAW-035,Traceability Graph Visualization,backlog,P1,3,EPIC-UAW,,,"Create interactive graph visualization showing traceability relationships. Uses React Flow or D3.js with force-directed layout, zoom/pan, filtering by type and depth."
User Story,UAW-036,Publishing Status Indicator,backlog,P2,1,EPIC-UAW,,,"Add visual indicators showing where documents have been published (Confluence, PDF). Badges on document cards, hover shows last published date, click opens target."
User Story,US-J59EIZS,AI-Powered Suggested Elements Based on Diagram Context,backlog,medium,3,,,,"As an enterprise architect, I want the system to suggest relevant elements based on my current diagram context so that I can model architectures faster with intelligent recommendations."
User Story,US-EZ34BGC,Notification System for Collaborative Diagram Changes,backlog,medium,3,,,,"As an enterprise architect working in a team, I want to receive notifications when collaborators make changes to shared diagrams so that I can stay informed about architecture updates."
User Story,US-BBNBL8A,Focus Mode for Distraction-Free Diagram Viewing,backlog,medium,3,,,,"As an enterprise architect, I want a focus mode that temporarily hides UI elements so that I can view and present diagrams without distractions."
User Story,US-7STKN14,Diagram Version Comparison with Change Highlighting,backlog,medium,3,,,,"As an enterprise architect, I want to compare different versions of a diagram with visual change highlighting so that I can understand how architectures have evolved over time."
User Story,US-4CL9DAS,Interactive Diagram Elements with User Input Response,backlog,medium,3,,,,"As an enterprise architect, I want diagram elements to respond to user input interactively so that I can explore and navigate complex architectures more effectively."
User Story,US-0U3BXQ0,Export Functionality for Palette Configurations,backlog,medium,3,,,,"As an enterprise architect, I want to export my palette configurations so that I can share customized element libraries with team members and across projects."
User Story,US-XCJ93RU,Element Relationship Validation and Guidance,backlog,medium,3,,,,"As an enterprise architect, I want the system to validate element relationships and provide guidance so that I can ensure my architecture diagrams follow best practices and framework standards."
User Story,US-TRME5QA,Custom Element Creation and Editing Capabilities,backlog,medium,3,,,,"As an enterprise architect, I want to create and edit custom architecture elements so that I can model organization-specific components that are not available in standard frameworks."
User Story,US-Z4IVH7K,Implement Pipeline Status View,backlog,medium,3,,,,Implement implement pipeline status view as part of the CI/CD feature set.
User Story,US-20JI2BF,Implement AWS Elastic Beanstalk Shape,backlog,medium,3,,,,Implement implement aws elastic beanstalk shape as part of the AWS Compute feature set.
User Story,US-TZGMI27,Implement AWS Auto Scaling Group Shape,backlog,medium,3,,,,Implement implement aws auto scaling group shape as part of the AWS Compute feature set.
User Story,US-J5ZMEBR,Implement AWS EBS Shape,backlog,medium,3,,,,Implement implement aws ebs shape as part of the AWS Storage feature set.
User Story,US-PC2GFIZ,Implement AWS EFS Shape,backlog,medium,3,,,,Implement implement aws efs shape as part of the AWS Storage feature set.
User Story,US-F002QVN,Implement AWS FSx Shape,backlog,medium,3,,,,Implement implement aws fsx shape as part of the AWS Storage feature set.
User Story,US-R083WWT,Implement Driver Shape,backlog,medium,3,,,,Implement implement driver shape as part of the ArchiMate Motivation Layer feature set.
User Story,US-CDZ64F8,Implement Resource Shape,backlog,medium,3,,,,Implement implement resource shape as part of the ArchiMate Strategy Layer feature set.
User Story,US-XGUR3IM,Create Code Syntax Highlighting,backlog,medium,3,,,,Implement create code syntax highlighting as part of the Editor feature set.
User Story,US-RDHVNEJ,Implement Outcome Shape,backlog,medium,3,,,,Implement implement outcome shape as part of the ArchiMate Strategy Layer feature set.
User Story,US-LJSQ6R2,Implement Principle Shape,backlog,medium,3,,,,Implement implement principle shape as part of the ArchiMate Strategy Layer feature set.
User Story,US-95Y3TXO,Implement Constraint Shape,backlog,medium,3,,,,Implement implement constraint shape as part of the ArchiMate Strategy Layer feature set.
User Story,US-CIBT7IM,Implement Assumption Shape,backlog,medium,3,,,,Implement implement assumption shape as part of the ArchiMate Strategy Layer feature set.
User Story,US-N5MX5WG,Implement Requirement Shape,backlog,medium,3,,,,Implement implement requirement shape as part of the ArchiMate Strategy Layer feature set.
User Story,US-4P9ZQ8D,Implement Goal Shape,backlog,medium,3,,,,Implement implement goal shape as part of the ArchiMate Strategy Layer feature set.
User Story,US-WWFMZC2,Implement Stakeholder Shape,backlog,medium,3,,,,Implement implement stakeholder shape as part of the ArchiMate Motivation Layer feature set.
User Story,US-56Y2YU8,Implement Assessment Shape,backlog,medium,3,,,,Implement implement assessment shape as part of the ArchiMate Motivation Layer feature set.
User Story,US-H1L20QW,Implement Value Shape,backlog,medium,3,,,,Implement implement value shape as part of the ArchiMate Motivation Layer feature set.
User Story,US-0PM9YD9,Implement Meaning Shape,backlog,medium,3,,,,Implement implement meaning shape as part of the ArchiMate Motivation Layer feature set.
User Story,US-HERKHTX,Implement Business Collaboration Shape,backlog,medium,3,,,,Implement implement business collaboration shape as part of the ArchiMate Business Layer feature set.
User Story,US-MQQ6F2J,Implement Business Interface Shape,backlog,medium,3,,,,Implement implement business interface shape as part of the ArchiMate Business Layer feature set.
User Story,US-YIZMBSF,Implement Business Function Shape,backlog,medium,3,,,,Implement implement business function shape as part of the ArchiMate Business Layer feature set.
User Story,US-TVJO96S,Implement Business Interaction Shape,backlog,medium,3,,,,Implement implement business interaction shape as part of the ArchiMate Business Layer feature set.
User Story,US-0U5P9CX,Implement Business Event Shape,backlog,medium,3,,,,Implement implement business event shape as part of the ArchiMate Business Layer feature set.
User Story,US-6BT19SR,Implement Product Shape,backlog,medium,3,,,,Implement implement product shape as part of the ArchiMate Business Layer feature set.
User Story,US-7Z92SS3,Implement Contract Shape,backlog,medium,3,,,,Implement implement contract shape as part of the ArchiMate Business Layer feature set.
User Story,US-9SE0STU,Implement Representation Shape,backlog,medium,3,,,,Implement implement representation shape as part of the ArchiMate Business Layer feature set.
User Story,US-YNV4ZFW,Implement Location Shape,backlog,medium,3,,,,Implement implement location shape as part of the ArchiMate Business Layer feature set.
User Story,US-N78YENI,Implement Application Collaboration Shape,backlog,medium,3,,,,Implement implement application collaboration shape as part of the ArchiMate Application Layer feature set.
User Story,US-32OQ7U6,Implement Application Interface Shape,backlog,medium,3,,,,Implement implement application interface shape as part of the ArchiMate Application Layer feature set.
User Story,US-VJK7QT3,Implement Application Function Shape,backlog,medium,3,,,,Implement implement application function shape as part of the ArchiMate Application Layer feature set.
User Story,US-NYPPMFF,Implement Application Interaction Shape,backlog,medium,3,,,,Implement implement application interaction shape as part of the ArchiMate Application Layer feature set.
User Story,US-E7BRIBU,Implement Application Process Shape,backlog,medium,3,,,,Implement implement application process shape as part of the ArchiMate Application Layer feature set.
User Story,US-KGJDC9W,Implement Application Event Shape,backlog,medium,3,,,,Implement implement application event shape as part of the ArchiMate Application Layer feature set.
User Story,US-W2JPZLL,Implement System Software Shape,backlog,medium,3,,,,Implement implement system software shape as part of the ArchiMate Technology Layer feature set.
User Story,US-BCF3LAX,Implement Technology Collaboration Shape,backlog,medium,3,,,,Implement implement technology collaboration shape as part of the ArchiMate Technology Layer feature set.
User Story,US-II6SCX3,Implement Technology Interface Shape,backlog,medium,3,,,,Implement implement technology interface shape as part of the ArchiMate Technology Layer feature set.
User Story,US-SJ37N7J,Implement Technology Function Shape,backlog,medium,3,,,,Implement implement technology function shape as part of the ArchiMate Technology Layer feature set.
User Story,US-9RYGSKN,Implement Technology Process Shape,backlog,medium,3,,,,Implement implement technology process shape as part of the ArchiMate Technology Layer feature set.
User Story,US-MZXD9T5,Implement Technology Event Shape,backlog,medium,3,,,,Implement implement technology event shape as part of the ArchiMate Technology Layer feature set.
User Story,US-YM4GMT2,Implement Communication Network Shape,backlog,medium,3,,,,Implement implement communication network shape as part of the ArchiMate Technology Layer feature set.
User Story,US-BDUGEWI,Implement Distribution Network Shape,backlog,medium,3,,,,Implement implement distribution network shape as part of the ArchiMate Technology Layer feature set.
User Story,US-WZSMK9S,Implement Material Shape,backlog,medium,3,,,,Implement implement material shape as part of the ArchiMate Technology Layer feature set.
User Story,US-6TVSFL6,Implement Equipment Shape,backlog,medium,3,,,,Implement implement equipment shape as part of the ArchiMate Technology Layer feature set.
User Story,US-JEI1PRY,Implement Facility Shape,backlog,medium,3,,,,Implement implement facility shape as part of the ArchiMate Technology Layer feature set.
User Story,US-RH26DTF,Implement Work Package Shape,backlog,medium,3,,,,Implement implement work package shape as part of the ArchiMate Implementation Layer feature set.
User Story,US-SLK76VZ,Implement Deliverable Shape,backlog,medium,3,,,,Implement implement deliverable shape as part of the ArchiMate Implementation Layer feature set.
User Story,US-4JTFYI8,Implement Implementation Event Shape,backlog,medium,3,,,,Implement implement implementation event shape as part of the ArchiMate Implementation Layer feature set.
User Story,US-B2X3L6W,Implement Plateau Shape,backlog,medium,3,,,,Implement implement plateau shape as part of the ArchiMate Implementation Layer feature set.
User Story,US-1EJE7BM,Implement Gap Shape,backlog,medium,3,,,,Implement implement gap shape as part of the ArchiMate Implementation Layer feature set.
User Story,US-D38INIU,Implement AWS Lambda Shape,backlog,medium,3,,,,Implement implement aws lambda shape as part of the AWS Compute feature set.
User Story,US-79BIBAQ,Implement AWS ECS Shape,backlog,medium,3,,,,Implement implement aws ecs shape as part of the AWS Compute feature set.
User Story,US-J5RUEJ7,Implement AWS EKS Shape,backlog,medium,3,,,,Implement implement aws eks shape as part of the AWS Compute feature set.
User Story,US-W9XOG88,Implement AWS Fargate Shape,backlog,medium,3,,,,Implement implement aws fargate shape as part of the AWS Compute feature set.
User Story,US-9B36YBQ,Implement AWS Glacier Shape,backlog,medium,3,,,,Implement implement aws glacier shape as part of the AWS Storage feature set.
User Story,US-3ZD116P,Implement AWS Storage Gateway Shape,backlog,medium,3,,,,Implement implement aws storage gateway shape as part of the AWS Storage feature set.
User Story,US-DN882Q3,Implement AWS RDS Shape,backlog,medium,3,,,,Implement implement aws rds shape as part of the AWS Database feature set.
User Story,US-4A7U7SX,Implement AWS Aurora Shape,backlog,medium,3,,,,Implement implement aws aurora shape as part of the AWS Database feature set.
User Story,US-WR74CM4,Implement AWS DynamoDB Shape,backlog,medium,3,,,,Implement implement aws dynamodb shape as part of the AWS Database feature set.
User Story,US-5HKEK8E,Implement AWS ElastiCache Shape,backlog,medium,3,,,,Implement implement aws elasticache shape as part of the AWS Database feature set.
User Story,US-DRXB4DM,Implement AWS Redshift Shape,backlog,medium,3,,,,Implement implement aws redshift shape as part of the AWS Database feature set.
User Story,US-5N6MWME,Implement AWS DocumentDB Shape,backlog,medium,3,,,,Implement implement aws documentdb shape as part of the AWS Database feature set.
User Story,US-V75ZRHS,Implement AWS Neptune Shape,backlog,medium,3,,,,Implement implement aws neptune shape as part of the AWS Database feature set.
User Story,US-JQPB489,Implement AWS Keyspaces Shape,backlog,medium,3,,,,Implement implement aws keyspaces shape as part of the AWS Database feature set.
User Story,US-VICCO5W,Implement AWS VPC Shape,backlog,medium,3,,,,Implement implement aws vpc shape as part of the AWS Networking feature set.
User Story,US-YU9NNSO,Implement AWS Subnet Shape,backlog,medium,3,,,,Implement implement aws subnet shape as part of the AWS Networking feature set.
User Story,US-91LH1NN,Implement AWS Route Table Shape,backlog,medium,3,,,,Implement implement aws route table shape as part of the AWS Networking feature set.
User Story,US-AJ2LE0R,Implement AWS Internet Gateway Shape,backlog,medium,3,,,,Implement implement aws internet gateway shape as part of the AWS Networking feature set.
User Story,US-OK5QESA,Implement AWS NAT Gateway Shape,backlog,medium,3,,,,Implement implement aws nat gateway shape as part of the AWS Networking feature set.
User Story,US-B15DGEU,Implement AWS Load Balancer Shape,backlog,medium,3,,,,Implement implement aws load balancer shape as part of the AWS Networking feature set.
User Story,US-C8EC9AU,Implement AWS CloudFront Shape,backlog,medium,3,,,,Implement implement aws cloudfront shape as part of the AWS Networking feature set.
User Story,US-94GGNQ6,Implement AWS Route 53 Shape,backlog,medium,3,,,,Implement implement aws route 53 shape as part of the AWS Networking feature set.
User Story,US-L9Q2Z5G,Implement AWS API Gateway Shape,backlog,medium,3,,,,Implement implement aws api gateway shape as part of the AWS Networking feature set.
User Story,US-T13DU75,Implement AWS Direct Connect Shape,backlog,medium,3,,,,Implement implement aws direct connect shape as part of the AWS Networking feature set.
User Story,US-7WW40KC,Implement AWS Transit Gateway Shape,backlog,medium,3,,,,Implement implement aws transit gateway shape as part of the AWS Networking feature set.
User Story,US-X5YMTI4,Implement AWS IAM Shape,backlog,medium,3,,,,Implement implement aws iam shape as part of the AWS Security feature set.
User Story,US-5XZH34Q,Implement AWS Security Group Shape,backlog,medium,3,,,,Implement implement aws security group shape as part of the AWS Security feature set.
User Story,US-75P8NB8,Implement AWS WAF Shape,backlog,medium,3,,,,Implement implement aws waf shape as part of the AWS Security feature set.
User Story,US-JY09T46,Implement AWS Shield Shape,backlog,medium,3,,,,Implement implement aws shield shape as part of the AWS Security feature set.
User Story,US-IUAND6D,Implement AWS KMS Shape,backlog,medium,3,,,,Implement implement aws kms shape as part of the AWS Security feature set.
User Story,US-XQ48A7P,Implement AWS Secrets Manager Shape,backlog,medium,3,,,,Implement implement aws secrets manager shape as part of the AWS Security feature set.
User Story,US-YKN58VO,Implement AWS Certificate Manager Shape,backlog,medium,3,,,,Implement implement aws certificate manager shape as part of the AWS Security feature set.
User Story,US-DD2W5N3,Implement AWS SQS Shape,backlog,medium,3,,,,Implement implement aws sqs shape as part of the AWS Integration feature set.
User Story,US-VPBRDR0,Implement AWS SNS Shape,backlog,medium,3,,,,Implement implement aws sns shape as part of the AWS Integration feature set.
User Story,US-CG3JT2A,Implement AWS EventBridge Shape,backlog,medium,3,,,,Implement implement aws eventbridge shape as part of the AWS Integration feature set.
User Story,US-3A2VOY8,Implement AWS Step Functions Shape,backlog,medium,3,,,,Implement implement aws step functions shape as part of the AWS Integration feature set.
User Story,US-2D36DHW,Implement AWS AppSync Shape,backlog,medium,3,,,,Implement implement aws appsync shape as part of the AWS Integration feature set.
User Story,US-B3TY2GU,Implement AWS Kinesis Shape,backlog,medium,3,,,,Implement implement aws kinesis shape as part of the AWS Analytics feature set.
User Story,US-CZ1SMR2,Implement AWS EMR Shape,backlog,medium,3,,,,Implement implement aws emr shape as part of the AWS Analytics feature set.
User Story,US-DU33667,Implement AWS Athena Shape,backlog,medium,3,,,,Implement implement aws athena shape as part of the AWS Analytics feature set.
User Story,US-T4JMDCM,Implement AWS Glue Shape,backlog,medium,3,,,,Implement implement aws glue shape as part of the AWS Analytics feature set.
