Story ID,Epic ID,Title,Description,Acceptance Criteria,Story Points,Status,Priority,Feature,Value,Requirement,Assignee,Product Manager,Tech Lead,Labels,Created At,Updated At
UAW-011,EPIC-UAW,ArchiMate Shape Definitions,"Define and seed core ArchiMate 3.2 shapes (50+ shapes) organized by layer: Business, Application, Technology, Strategy, Physical, Implementation, Motivation.","Feature: ArchiMate Shape Library
  As an enterprise architect
  I want ArchiMate shapes available
  So that I can create standard EA models

Scenario: Seed ArchiMate shapes
  When I run 'npm run seed:archimate-shapes'
  Then 50+ ArchiMate shapes should be created
  And they should be organized by layer
  And each should have standard ArchiMate colors
  And relationship rules should be in metadata",5,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-012,EPIC-UAW,@-Mention Parser & Resolution API,Create parser to detect @-mentions in rich text and API to resolve them to actual objects with preview data. Response time must be <100ms for good UX.,"Feature: @-Mention System
  As an architect
  I want to @-mention objects in documents
  So that I can create traceable references

Scenario: Parse @-mentions from text
  Given I have text with ""@REQ-1205"" and ""@ADR-042""
  When I send POST /api/objects/parse-mentions
  Then I should get both mentions identified

Scenario: Resolve @-mention to object
  When I send GET /api/objects/resolve?mention=REQ-1205
  Then I should get object details in <100ms
  And I should get preview data for inline cards

Scenario: Autocomplete @-mentions
  When I send GET /api/objects/autocomplete?q=req
  Then I should get matching objects in <50ms
  And results should be ranked by relevance and usage",8,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-013,EPIC-UAW,Backlink Computation System,Implement system to automatically compute and update backlinks when references are created or deleted. Uses database triggers or async jobs for performance.,"Feature: Automatic Backlinks
  As a system
  I want to track backlinks automatically
  So that objects know what references them

Scenario: Create reference updates backlinks
  Given I create a reference from object A to B
  Then object B's backlinks array should include A's ID
  And object B's referenceCount should increment

Scenario: Delete reference updates backlinks
  When I delete the reference from A to B
  Then object B's backlinks should be updated
  And referenceCount should decrement

Scenario: Cascade delete on object deletion
  Given object A references B and C
  When I delete object A
  Then all references from A should be deleted
  And backlinks in B and C should update automatically",5,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-014,EPIC-UAW,Unified Search with Ranking,"Enhance search API with relevance ranking (exact match > description > tags > content), popularity boost from referenceCount, and highlighted snippets.","Feature: Enhanced Search
  As a user
  I want relevant search results
  So that I find what I need quickly

Scenario: Search with relevance ranking
  Given objects with ""authentication"" in different fields
  When I search for ""authentication""
  Then results should be ranked: exact name > description > tags
  And popular objects (high referenceCount) should rank higher

Scenario: Highlighted snippets
  When I get search results
  Then matching text should be highlighted
  And I should see context around matches",2,backlog,P2,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-015,EPIC-UAW,@-Mention Autocomplete in Editor,"Integrate @-mention autocomplete into TipTap editor with real-time suggestions, keyboard navigation, and preview cards on hover.","Feature: Editor @-Mentions
  As an architect writing documents
  I want autocomplete for @-mentions
  So that I can easily reference objects

Scenario: Trigger autocomplete
  Given I am typing in the editor
  When I type ""@""
  Then an autocomplete dropdown should appear
  When I continue typing ""@req""
  Then results should filter in real-time

Scenario: Insert @-mention
  When I select a suggestion
  Then the @-mention should be inserted as a link
  And hovering should show a preview card

Scenario: Keyboard navigation
  Given autocomplete is showing
  Then arrow keys should navigate suggestions
  And Enter should insert the selected item",5,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-016,EPIC-UAW,Object Preview Card Component,Create reusable preview card component that shows object details on hover over @-mentions. Displays different content based on object type.,"Feature: Preview Cards
  As a user
  I want to see object previews on hover
  So that I understand references without clicking

Scenario: Hover shows preview
  Given I have a document with ""@REQ-1205""
  When I hover over the @-mention
  Then a preview card should appear after 300ms
  And it should show: type, name, description, status

Scenario: Different previews by type
  Given I hover over a shape @-mention
  Then I should see the shape icon preview
  Given I hover over a requirement
  Then I should see status, priority, source

Scenario: Click to navigate
  Given a preview card is showing
  When I click ""Open""
  Then I should navigate to the object detail page",5,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-018,EPIC-UAW,Diagram Embedding in Editor,"Enable embedding canvas diagrams as content blocks in documents (not attachments). Diagrams appear inline with preview, click to open editor modal.","Feature: Diagram Embedding
  As an architect
  I want to embed diagrams in documents
  So that diagrams are part of the document, not attachments

Scenario: Insert new diagram block
  Given I am editing a document
  When I type ""/diagram"" and create new
  Then a mini canvas should appear inline
  And I should be able to add shapes

Scenario: Embed existing diagram
  When I select ""Insert Existing"" diagram
  Then I should see my saved diagrams
  When I select one
  Then it should embed as SVG preview inline

Scenario: Edit embedded diagram
  Given I have an embedded diagram
  When I click ""Edit Diagram""
  Then canvas editor should open in modal
  And changes should update the preview automatically",8,backlog,P0,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-019,EPIC-UAW,Document Templates,"Create document templates for common architecture artifacts: ADR, Design Spec, Technical Brief, Reference Architecture, Capability Assessment. Pre-populated with structure and guidance.","Feature: Document Templates
  As an architect
  I want document templates
  So that I can quickly create standard documents

Scenario: Create from template
  Given I click ""New Document""
  When I select ""Architecture Decision Record"" template
  Then editor should be pre-populated with ADR structure:
    Title, Status, Context, Decision, Consequences, Alternatives
  And each section should have placeholder guidance

Scenario: Available templates
  Then I should see templates for:
    ADR, Solution Design, Technical Brief, Reference Architecture, Capability Assessment, Blank",5,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-020,EPIC-UAW,Document Version History UI,"Add version history tracking and UI to view/restore previous versions. Auto-save creates versions. Show timeline, preview versions, restore, compare diffs.","Feature: Version History
  As an architect
  I want to track document versions
  So that I can review and restore previous versions

Scenario: Auto-save creates versions
  Given I am editing a document
  When auto-save triggers
  Then a new version should be created
  And I should see ""Version 2 saved"" notification

Scenario: View version history
  Given I have a document with 5 versions
  When I click ""Version History""
  Then I should see timeline of all versions
  And I should be able to preview any version

Scenario: Restore previous version
  When I restore version 3
  Then a new version should be created with that content
  And I should see ""Restored to version 3""",5,backlog,P2,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-021,EPIC-UAW,Document Publishing Workflow UI,"Add workflow UI for document status transitions: Draft → In Review → Approved → Published → Archived. Status badges, permissions, notifications.","Feature: Publishing Workflow
  As an architect
  I want document status workflow
  So that I can control document lifecycle

Scenario: Change status
  Given I have a draft document
  When I select status ""In Review""
  Then status should update
  And badge should reflect change

Scenario: Published document warning
  Given a document is published
  When I try to edit
  Then I should see warning about creating new version",2,backlog,P2,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-022,EPIC-UAW,Document Versioning API,"Create API endpoints for document version management: create version on save, list versions, retrieve specific version, restore version.","Feature: Version Management API
  As a system
  I want to track document versions
  So that users can restore previous content

Scenario: Create version on save
  Given I update a document via PUT /api/documents/:id
  Then a new version should be created in document_versions
  And versionNumber should increment

Scenario: List and retrieve versions
  When I send GET /api/documents/:id/versions
  Then I should get all versions ordered by versionNumber
  When I GET /api/documents/:id/versions/3
  Then I should get full content of version 3

Scenario: Restore version
  When I POST /api/documents/:id/versions/3/restore
  Then new version should be created with version 3 content",5,backlog,P2,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-023,EPIC-UAW,Customer Input Objects API,"Create API for storing customer inputs (requirements, feedback, constraints) as unified objects with sourceSystem='customer', enabling linking to deliverables.","Feature: Customer Inputs
  As a solutions architect
  I want to store customer inputs as objects
  So that I can link them to deliverables

Scenario: Create customer requirement
  Given I receive a customer requirement
  When I POST /api/objects with objectType='requirement', sourceSystem='customer'
  Then the object should be created
  And I should be able to @-mention it in documents
  And I should be able to link it to designs

Scenario: Link to deliverable
  Given I have a customer requirement
  When I create a reference from design to requirement with type='derives_from'
  Then I can query ""which deliverables address this requirement""",2,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-024,EPIC-UAW,BPMN Shape Definitions,"Define and seed BPMN 2.0 shapes (25+ shapes) for business process modeling: Task, Gateway, Event, Pool, Lane, Data Object.","Feature: BPMN Shape Library
  As a business architect
  I want BPMN shapes available
  So that I can create process diagrams

Scenario: Seed BPMN shapes
  When I run 'npm run seed:bpmn-shapes'
  Then 25+ BPMN shapes should be created
  And shapes should include: Task, Gateway, Event, Pool, Lane
  And each should have standard BPMN visuals",3,backlog,P2,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-025,EPIC-UAW,Jira Requirements Import,"Implement Jira API integration to import stories/epics as requirement objects. Configure connection, fetch issues, create as unified objects with sourceSystem='jira', sync updates.","Feature: Jira Integration
  As a solutions architect
  I want to import Jira requirements
  So that I can model against actual project requirements

Scenario: Configure Jira connection
  Given I navigate to Settings > Integrations > Jira
  When I enter Jira credentials and test connection
  Then I should see ""Connection successful""

Scenario: Import Jira stories as requirements
  When I select project and click ""Import from Jira""
  Then stories should be created as requirement objects
  And each should have: objectType='requirement', sourceSystem='jira', externalId
  And metadata should include: status, priority, assignee

Scenario: Sync updates
  Given I have imported Jira stories
  When a story is updated in Jira
  And I click ""Sync Now""
  Then the requirement object should be updated
  And references should remain intact",8,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-026,EPIC-UAW,Confluence Page Reference Import,Import Confluence pages as external reference objects (objectType='external') to enable linking from ARKHITEKTON documents. Read-only references with metadata and URLs.,"Feature: Confluence References
  As an architect
  I want to reference Confluence pages
  So that I can link to existing documentation

Scenario: Configure Confluence
  Given I enter Confluence credentials
  When I test connection
  Then I should see ""Connection successful""

Scenario: Import pages as references
  When I select a Confluence space
  Then pages should be imported as external objects
  And each should have: objectType='external', sourceSystem='confluence'
  And metadata should include: spaceKey, url, lastModified

Scenario: Link to Confluence page
  Given I imported Confluence pages
  When I @-mention a page in a document
  Then clicking should open Confluence page in new tab",5,backlog,P2,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-027,EPIC-UAW,External System Sync Status Dashboard,"Create dashboard showing sync status for all integrations (Jira, Confluence). Display last sync time, object counts, health status, manual sync buttons, error logs.","Feature: Sync Status Dashboard
  As an administrator
  I want to see sync status
  So that I know integrations are working

Scenario: View sync status
  Given I navigate to Settings > Integrations
  Then I should see dashboard with:
    Jira: Last synced 2h ago, 45 objects, Status ✅
    Confluence: Last synced 1d ago, 12 objects, Status ⚠️

Scenario: Manual sync
  When I click ""Sync Now"" for Jira
  Then I should see progress indicator
  And when complete: ""Synced. 3 new, 2 updated""

Scenario: View errors
  Given a sync failed
  Then I should see Status ❌ Error
  And error details with retry button",4,backlog,P2,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-028,EPIC-UAW,External Object Sync Service,"Create reusable sync service for importing objects from external systems with conflict resolution (last-write-wins), upsert logic, and deletion handling.","Feature: Sync Service
  As a system
  I want reusable sync logic
  So that integrations are consistent

Scenario: Sync external objects
  Given external objects from Jira
  When I call syncService.sync('jira', objects)
  Then objects should be upserted to unified_objects
  And existing objects should update if externalId matches
  And sync metadata should be recorded

Scenario: Conflict resolution
  Given object modified in both systems
  When sync runs
  Then last-write-wins should apply (compare timestamps)
  And conflict should be logged

Scenario: Handle deletions
  Given object deleted in Jira
  When sync runs
  Then object should be marked status='archived'
  And references should remain intact",5,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-029,EPIC-UAW,Object Relationship Validation,"Add validation to ensure object references follow allowed relationship rules. Validate relationship types per object type, detect circular references, require context where needed.","Feature: Relationship Validation
  As a system
  I want to validate relationships
  So that only valid references are created

Scenario: Validate relationship types
  Given design implements requirement (valid)
  Then reference should be allowed
  Given shape implements requirement (invalid)
  Then I should get error: ""Invalid relationship""

Scenario: Detect circular references
  Given A→B→C
  When I try to create C→A
  Then I should get warning about circular reference

Scenario: Validate context
  Given reference type='mention'
  Then context should be required
  Given reference type='trace'
  Then context is optional",2,backlog,P2,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-030,EPIC-UAW,Import Wizard UI,"Create step-by-step wizard for importing objects: Select Source → Configure Connection → Select Objects → Map Fields → Review & Import. Support Jira, Confluence, CSV.","Feature: Import Wizard
  As an architect
  I want an import wizard
  So that importing is easy and guided

Scenario: Launch import wizard
  Given I navigate to /library
  When I click ""Import""
  Then I should see wizard steps: Source, Connection, Select, Map, Review

Scenario: Import from Jira
  When I select ""Jira"" source and enter credentials
  And select stories to import
  Then import should start with progress indicator
  And on complete: ""Import complete. 15 requirements created""

Scenario: Field mapping for CSV
  Given I upload CSV
  When I reach ""Map Fields"" step
  Then I should drag-drop to map columns to fields
  And see preview of mapped data",3,backlog,P2,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-031,EPIC-UAW,Confluence Publishing Engine,"Implement one-way publishing from ARKHITEKTON to Confluence. Convert documents to Confluence Storage Format, export diagrams as SVG attachments, add source-of-truth banner, update existing pages.","Feature: Confluence Publishing
  As an architect
  I want to publish documents to Confluence
  So that ARKHITEKTON is the source of truth

Scenario: Publish document to Confluence
  Given I have a design document with diagrams
  When I click ""Publish"" and select Confluence space
  Then document should convert to Confluence format
  And diagrams should be exported as SVG attachments
  And @-mentions should convert to links
  And new Confluence page should be created

Scenario: Update published document
  Given document is published to Confluence
  When I make changes and publish again
  Then existing Confluence page should be updated
  And I should see ""Published to Confluence""

Scenario: Source of truth banner
  Given document is published
  Then Confluence page should have banner:
    ""⚠️ Source of truth: ARKHITEKTON [Edit in ARKHITEKTON]""
  And clicking link should open document in ARKHITEKTON",10,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-032,EPIC-UAW,PDF Export,"Enable exporting documents to PDF with embedded diagrams, proper formatting, ARKHITEKTON branding, and metadata (title, author, version, watermark).","Feature: PDF Export
  As an architect
  I want to export documents to PDF
  So that I can share offline copies

Scenario: Export document to PDF
  Given I have a document with diagrams
  When I click ""Export"" and select ""PDF""
  Then PDF should be generated
  And include: title page, TOC, content with formatting
  And diagrams should be embedded as high-res images
  And I should be able to download

Scenario: PDF styling and metadata
  Then PDF should use ARKHITEKTON branding
  And have header with document title
  And footer with page numbers
  And metadata: Title, Author, Date, Version, Status",5,backlog,P2,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-033,EPIC-UAW,Traceability Graph API,Create API to query traceability relationships between objects: Strategy → Capability → Requirement → Design → Decision → Implementation. Multi-level traversal with depth control.,"Feature: Traceability Graph
  As an architect
  I want to trace relationships
  So that I understand dependencies end-to-end

Scenario: Get traceability graph
  Given requirement linked to designs and code
  When I send GET /api/objects/:id/traceability
  Then I should get graph with upstream and downstream objects
  And I should be able to traverse multiple levels

Scenario: Trace requirement to implementation
  Given REQ-123 → DOC-456 → GitHub:abc123
  When I query traceability for REQ-123
  Then I should see full chain with relationship types

Scenario: Performance with depth limit
  Given deeply nested relationships
  When I specify maxDepth=5
  Then API should not traverse beyond depth 5
  And should complete in <500ms",8,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-034,EPIC-UAW,Impact Analysis API,"Create API to analyze impact of changes to an object. Return direct and indirect impact, total count, impact by type, severity levels based on object status.","Feature: Impact Analysis
  As an architect
  I want impact analysis
  So that I understand change consequences

Scenario: Analyze impact
  Given object A is referenced by B, C, D
  When I send GET /api/objects/A/impact
  Then I should get:
    directImpact: [B, C, D]
    indirectImpact: [objects referencing B, C, D]
    totalImpacted: 10
    impactByType: {diagram: 3, document: 5, requirement: 2}

Scenario: Impact severity
  Then I should see severity levels:
    HIGH: Published documents, approved designs
    MEDIUM: Draft documents
    LOW: Archived objects
  And recommendations for review",2,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-035,EPIC-UAW,Traceability Graph Visualization,"Create interactive graph visualization showing traceability relationships. Uses React Flow or D3.js with force-directed layout, zoom/pan, filtering by type and depth.","Feature: Graph Visualization
  As an architect
  I want to visualize traceability
  So that I can see relationships at a glance

Scenario: View traceability graph
  Given I view an object detail page
  When I click ""View Traceability""
  Then I should see interactive graph
  And current object at center
  And upstream objects on left, downstream on right
  And nodes colored by object type

Scenario: Interact with graph
  When I hover over node
  Then I should see tooltip with details
  When I click node
  Then I should navigate to that object
  And I should be able to zoom and pan

Scenario: Filter graph
  When I select ""Show only requirements and designs""
  Then other types should be hidden
  And I should be able to adjust depth level",3,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
